Timeperiod,CreepColony,SunkenColony,SporeColony,Extractor,SpawningPool,EvolutionChamber,HydraliskDen,Lair,Spire,QueensNest,Hive,GreaterSpire,NydusCanal,UltraliskCavern,DefilerMound,Zergling,Hydralisk,Lurker,Ultralisk,Defiler,Overlord,Mutalisk,Scourge,Queen,Guardian,Devourer
period32,2,4,4,3,1,2,1,0,0,0,1,1,2,1,1,4,0,4,4,1,4,0,2,0,0,0
period33,2,4,4,3,1,2,0,0,0,0,1,1,2,1,1,4,0,4,4,1,4,0,1,0,0,0
period34,0,4,4,4,1,2,0,0,0,0,1,1,2,1,1,4,0,4,4,1,4,0,1,0,0,0
period35,0,4,4,4,1,2,0,0,0,0,1,1,2,1,1,4,0,4,4,0,4,0,1,0,0,0
period36,0,4,4,4,1,2,0,0,0,0,1,1,2,1,1,4,0,4,4,0,4,0,1,0,0,0
period37,0,4,4,4,1,2,0,0,0,0,1,1,2,1,1,4,0,4,4,1,4,0,0,0,0,0
period38,0,4,4,4,1,2,0,0,0,0,1,1,2,1,1,4,0,4,3,2,4,0,0,0,0,0
period39,0,4,4,4,1,2,0,0,0,0,1,1,2,1,1,4,0,4,4,2,4,0,2,0,0,0
period40,0,4,4,4,1,2,0,0,0,0,1,1,2,1,1,3,0,4,4,1,4,0,2,0,0,0
period41,0,4,4,4,1,2,0,0,0,0,1,1,2,1,1,3,0,4,4,1,4,0,3,0,0,0
period42,0,4,4,4,1,2,0,0,0,0,1,1,2,1,1,4,0,4,4,1,4,0,3,0,0,0
period43,0,4,4,4,1,2,0,0,0,0,1,1,2,1,1,3,0,4,4,1,4,0,1,0,0,0
period44,0,4,4,4,1,2,0,0,0,0,1,1,2,1,1,3,0,4,4,1,4,2,1,0,0,0
period45,0,4,4,4,1,2,0,0,0,0,1,1,2,1,1,3,0,4,3,1,4,3,1,0,0,0
period46,0,4,4,4,1,2,0,0,2,0,1,1,2,1,1,4,0,4,3,1,4,4,1,0,0,4
period47,0,4,4,4,1,2,0,0,2,0,1,1,2,1,1,4,0,4,3,0,4,4,4,0,0,4
period48,0,4,4,4,1,2,0,0,2,0,1,1,2,1,1,4,0,4,3,0,4,0,3,0,0,4
period49,0,4,4,4,1,2,0,0,2,0,1,0,2,1,1,4,0,4,4,0,4,0,2,0,0,3
period50,0,4,4,3,1,2,0,0,1,0,1,0,0,1,1,4,0,4,4,0,4,3,2,0,0,0
period51,0,4,4,3,1,2,0,0,1,0,1,0,0,1,1,4,0,4,2,0,4,4,3,0,0,0
period52,0,4,3,3,1,2,0,0,1,0,1,1,0,1,1,4,0,4,2,0,4,4,3,0,0,0
period53,0,4,3,3,0,2,0,0,0,0,1,1,0,0,0,4,0,4,2,0,4,0,0,0,0,4
period54,3,4,4,3,0,2,0,0,0,0,0,1,0,0,0,4,0,4,2,0,4,0,2,0,0,4
period55,0,4,4,3,0,2,0,0,0,0,0,1,0,0,0,4,0,4,2,0,4,0,4,0,0,3
period56,0,4,4,3,1,2,0,0,0,0,0,1,0,0,0,4,0,4,2,0,4,0,0,0,0,2
period57,0,4,4,3,1,2,1,0,0,0,0,0,0,0,0,4,1,4,2,0,4,0,0,0,0,0
period58,2,4,4,3,1,0,0,0,0,0,0,0,0,0,0,4,3,4,2,0,4,0,0,0,0,0
period59,2,4,3,3,0,0,1,0,0,0,0,0,0,0,0,4,4,4,2,0,4,0,0,0,0,0
period60,0,4,1,3,0,1,1,0,0,0,0,0,0,0,0,4,4,4,2,0,4,0,0,0,0,0
period61,0,4,1,3,0,0,1,0,0,0,0,0,0,0,0,4,4,4,2,0,4,0,0,0,0,0
period62,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,4,3,4,2,0,4,0,0,0,0,0
period1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
period6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
period7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
period8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
period9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
period10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
period11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0
period12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0
period13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0
period14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0
period15,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0
period16,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0
period17,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0
period18,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0
period19,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0
period20,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0
period21,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,0,0,0,0
period22,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,0,0,0,0
period23,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0
period24,0,1,0,2,1,2,1,1,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0
period25,0,1,0,2,1,2,1,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0
period26,0,1,0,3,1,3,1,0,0,0,0,0,0,0,0,4,4,2,0,0,4,0,0,0,0,0
period27,0,1,0,3,1,3,1,0,0,0,1,0,0,0,0,4,4,1,0,0,4,0,0,0,0,0
period28,0,1,0,3,1,3,1,0,0,0,1,0,0,0,0,4,4,1,0,0,4,0,0,0,0,0
period29,0,1,0,3,1,3,1,0,0,0,1,0,0,1,0,2,4,3,0,0,4,0,0,0,0,0
period30,0,1,0,3,1,3,1,0,0,0,1,0,0,1,0,3,3,3,0,0,4,0,0,0,0,0
period31,0,1,0,3,1,3,1,0,0,0,1,0,0,1,0,3,4,2,0,0,4,0,0,0,0,0
period32,0,1,0,2,1,3,1,0,0,0,1,0,0,1,0,2,0,0,3,0,4,0,0,0,0,0
period33,0,1,0,2,1,3,1,0,0,0,1,0,0,1,0,3,0,0,3,0,4,0,0,0,0,0
period34,0,1,0,2,1,3,1,0,0,0,1,0,0,1,0,4,0,0,3,0,4,0,0,0,0,0
period35,0,1,0,2,1,3,1,0,0,0,1,0,0,1,0,3,0,0,1,0,4,0,0,0,0,0
period36,0,1,0,2,1,3,1,0,0,0,1,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0
period37,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,3,2,0,0,0,4,0,0,0,0,0
period38,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,3,0,3,0,0,4,0,0,0,0,0
period39,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,4,0,3,0,0,3,0,0,0,0,0
period40,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,3,0,3,0,2,3,0,0,0,0,0
period41,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,4,0,2,0,2,3,0,0,0,0,0
period42,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,4,0,2,0,2,3,0,0,0,0,0
period43,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,4,0,2,0,1,3,0,0,0,0,0
period44,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,4,0,1,0,1,4,0,0,0,0,0
period45,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,4,0,0,4,1,4,0,0,0,0,0
period46,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,4,0,0,4,1,4,0,0,0,0,0
period47,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,2,0,0,4,1,4,0,0,0,0,0
period48,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,2,0,0,4,1,4,0,0,0,0,0
period49,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,2,0,0,4,1,4,0,0,0,0,0
period50,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,1,0,0,4,1,4,0,0,0,0,0
period51,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,0,0,0,4,1,4,0,0,0,0,0
period52,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,1,0,0,4,1,3,0,0,0,0,0
period53,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,1,0,0,4,1,3,0,0,0,0,0
period54,0,1,0,2,1,3,1,0,0,0,1,0,0,1,1,2,0,0,1,1,3,0,0,0,0,0
period1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
period6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
period7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
period8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
period9,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
period10,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0
period11,0,3,0,2,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0
period12,0,3,0,2,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0
period13,0,3,2,2,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0
period14,0,3,2,2,1,1,1,1,1,0,0,0,0,0,0,3,3,0,0,0,4,0,1,0,0,0
period15,0,3,2,2,1,1,1,1,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,0,0
period16,0,3,2,2,1,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,0,0
period17,0,3,2,3,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,0,0
period18,0,3,2,3,0,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
period19,0,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
period20,1,4,3,3,1,1,1,1,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
period21,0,4,3,3,1,2,1,1,1,0,0,0,0,0,0,3,4,3,0,0,4,0,0,0,0,0
period22,0,4,3,3,1,3,1,0,1,0,0,0,0,0,0,4,4,3,0,0,4,0,0,0,0,0
period23,0,4,3,3,1,3,1,0,1,0,0,0,0,0,0,3,4,3,0,0,4,0,4,0,0,0
period24,0,4,3,3,1,3,1,0,1,0,1,0,0,0,0,4,4,4,0,0,4,0,3,0,0,0
period25,0,4,3,3,1,3,1,0,1,0,1,0,0,0,0,3,4,4,0,0,4,0,3,0,0,0
period26,0,4,3,3,1,3,1,0,1,0,1,0,1,0,1,4,4,4,0,0,4,0,3,0,0,0
period27,0,4,3,3,1,3,1,0,1,0,1,0,1,0,1,3,4,4,0,0,4,0,3,0,0,0
period28,0,4,3,3,1,3,1,0,1,0,1,0,1,0,1,2,4,4,0,0,4,0,3,0,0,0
period29,0,4,3,3,1,3,1,0,1,0,1,0,1,0,1,4,4,4,0,0,4,0,3,0,0,0
period30,0,4,3,3,1,3,1,0,1,0,1,0,1,1,1,4,4,4,0,0,4,0,3,0,0,0
period31,0,4,3,3,1,3,1,0,1,0,1,0,1,1,1,1,4,4,0,0,4,0,3,0,0,0
period32,0,4,3,3,1,3,1,0,1,0,1,0,1,1,1,4,4,4,0,0,4,0,3,0,0,0
period1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
period6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
period7,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0
period8,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0
period9,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0
period10,0,2,0,2,1,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0
period11,0,4,0,2,1,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0
period12,1,4,0,3,1,0,1,1,1,0,0,0,0,0,0,1,3,0,0,0,4,0,0,0,0,0
period13,0,4,0,3,1,0,1,1,1,0,0,0,0,0,0,1,3,0,0,0,4,4,0,0,0,0
period14,0,4,0,3,1,1,1,1,1,0,0,0,0,0,0,1,4,0,0,0,4,3,0,0,0,0
period15,0,4,0,3,1,1,1,1,1,0,0,0,0,0,0,1,4,0,0,0,4,1,0,0,0,0
period16,0,4,0,3,1,2,1,1,1,0,0,0,0,0,0,1,4,0,0,0,4,1,2,0,0,0
period17,0,4,0,3,1,2,1,1,1,0,0,0,0,0,0,1,4,0,0,0,4,1,2,0,0,0
period18,0,4,0,3,1,2,1,0,1,0,0,0,0,0,0,3,4,2,0,0,4,1,0,0,0,0
period19,0,4,0,3,1,2,1,0,1,0,0,0,0,0,0,1,4,2,0,0,4,1,0,0,0,0
period20,0,4,0,3,1,2,1,0,1,0,1,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0
period21,0,4,0,3,1,2,1,0,1,0,1,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0
period22,0,4,0,3,1,2,1,0,1,0,1,0,0,0,1,3,4,3,0,1,4,0,0,0,0,0
period23,0,4,0,3,1,2,1,0,1,0,1,0,0,0,1,3,4,3,0,1,4,0,4,0,0,0
period24,0,4,0,3,1,2,1,0,1,0,1,0,0,0,1,4,4,3,0,1,4,0,4,0,0,0
period25,0,4,0,3,1,2,1,0,1,0,1,0,0,0,1,4,4,1,0,1,4,0,4,0,0,0
period26,0,4,0,3,1,2,1,0,1,0,1,0,0,0,1,4,3,3,0,1,4,0,3,0,0,0
period27,0,4,0,3,1,2,1,0,1,0,1,0,0,0,1,4,2,2,0,1,4,0,3,0,0,0
period28,0,4,0,3,1,2,1,0,1,0,1,0,0,0,1,4,0,1,0,1,4,0,3,0,0,0
period1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
period5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
period6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
period7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
period8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
period9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
period10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
period11,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
period12,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
period13,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0
period14,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,2,4,0,0,0,3,0,0,0,0,0
period15,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0
period16,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0
period17,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
period18,0,0,0,3,1,2,1,1,1,0,0,0,0,0,0,2,4,3,0,0,4,0,0,0,0,0
period19,2,3,2,3,1,3,1,1,1,0,0,0,0,0,0,3,4,3,0,0,4,0,0,0,0,0
period20,0,4,3,3,1,3,1,1,1,0,0,0,0,0,0,4,4,4,0,0,4,0,4,0,0,0
period21,2,4,3,3,1,3,1,0,1,0,0,0,0,0,0,4,3,4,0,0,4,0,4,0,0,0
period22,0,4,3,3,1,3,1,0,1,0,0,0,0,0,0,4,4,4,0,0,4,0,4,0,0,0
period23,0,4,3,3,1,3,1,0,1,0,1,0,0,0,0,4,4,4,0,0,4,0,4,0,0,0
period24,0,4,3,3,1,3,1,0,1,0,1,0,0,0,2,4,4,4,0,0,4,0,4,0,0,0
period25,0,4,3,3,1,3,1,0,1,0,1,0,0,0,2,4,4,4,0,1,4,0,4,0,0,0
period26,0,4,3,3,1,3,1,0,1,0,1,0,0,0,2,4,4,4,0,1,4,0,4,0,0,0
period27,1,4,3,3,1,3,1,0,1,0,1,0,0,0,2,4,4,4,0,1,4,0,4,0,0,0
period28,1,4,3,3,1,3,1,0,1,0,1,0,0,0,2,4,4,4,0,1,4,0,4,0,0,0
period29,0,4,3,3,1,3,1,0,1,0,1,0,0,0,2,4,4,2,0,1,4,0,4,0,0,0
period30,0,4,3,3,1,3,1,0,1,0,1,0,0,0,2,4,4,2,0,1,4,0,4,0,0,0
period31,0,4,3,3,1,3,1,0,1,0,1,0,0,0,2,4,4,0,0,1,4,0,4,0,0,0
period32,0,4,3,3,1,3,1,0,1,0,1,0,0,0,2,4,4,0,0,1,4,0,4,0,0,0
period33,0,4,3,3,1,3,1,0,1,0,1,0,0,2,2,4,3,0,0,0,4,0,4,0,0,0
period34,3,4,3,4,1,3,1,0,1,0,1,0,0,2,2,4,3,2,4,0,4,0,4,0,0,0
period35,0,4,3,4,1,3,1,0,1,0,1,0,0,2,2,4,3,2,4,0,4,0,4,0,0,0
period36,0,4,3,4,1,3,1,0,1,0,1,0,0,2,2,4,2,2,4,0,4,0,4,0,0,0
period1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
period5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
period6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
period7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
period8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
period9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0
period10,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0
period11,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0
period12,0,1,1,2,1,1,1,1,1,0,0,0,0,0,0,2,4,0,0,0,3,0,0,0,0,0
period13,0,3,2,2,1,1,1,1,1,0,0,0,0,0,0,2,4,0,0,0,3,0,2,0,0,0
period14,0,3,2,3,1,1,1,1,1,0,0,0,0,0,0,2,4,0,0,0,4,0,0,0,0,0
period15,0,3,2,3,1,1,1,1,1,0,0,0,0,0,0,2,4,0,0,0,4,0,2,0,0,0
period16,0,4,2,3,1,1,1,1,1,0,0,0,0,0,0,2,4,0,0,0,4,0,2,0,0,0
period17,0,4,2,3,1,1,1,1,1,0,0,0,0,0,0,1,4,2,0,0,4,0,2,0,0,0
period18,0,4,2,3,1,2,1,0,1,0,0,0,0,0,0,4,4,4,0,0,4,0,2,0,0,0
period19,0,4,2,3,1,2,1,0,1,0,0,0,0,0,0,4,4,4,0,0,4,0,1,0,0,0
period20,0,4,2,3,1,2,1,0,1,0,1,0,0,0,0,4,4,4,0,0,4,0,1,0,0,0
period21,0,4,2,3,1,2,1,0,1,0,1,0,0,0,1,4,4,4,0,0,4,0,1,0,0,0
period22,0,4,2,3,1,2,1,0,1,0,1,0,0,0,1,4,4,4,0,0,4,0,2,0,0,0
period23,0,4,2,3,1,2,1,0,1,0,1,0,0,0,1,4,4,4,0,1,4,0,3,0,0,0
period24,1,4,2,3,1,2,1,0,1,0,1,0,0,0,1,4,4,4,0,1,4,0,4,0,0,0
period25,1,4,2,3,1,2,1,0,1,0,1,0,0,0,1,4,4,3,0,0,4,0,3,0,0,0
period26,1,4,2,3,1,2,1,0,1,0,1,0,0,0,1,4,4,3,0,0,4,0,4,0,0,0
period27,1,4,2,3,1,2,1,0,1,0,1,0,0,0,1,4,4,4,0,1,4,0,3,0,0,0
period28,1,4,2,3,1,2,1,0,1,0,1,0,1,0,1,4,4,4,0,1,4,0,2,0,0,0
period29,1,4,2,3,1,2,1,0,1,0,1,0,2,0,1,4,4,4,0,1,4,0,2,0,0,0
period30,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,4,4,4,0,2,4,0,2,0,0,0
period31,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,4,4,4,0,3,4,0,2,0,0,0
period32,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,4,4,4,3,3,4,0,2,0,0,0
period33,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,4,4,4,4,3,4,0,2,0,0,0
period34,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,4,3,4,3,2,4,0,2,0,0,0
period35,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,4,3,4,4,1,4,0,3,0,0,0
period36,0,4,2,3,1,2,1,0,1,0,1,0,2,1,1,3,3,4,4,1,4,0,2,0,0,0
